id|insee|zip|name|slug|latitude|longitude|departments_id|departments_code|departments_name|departments_slug|regions_id|code|regions_name|regions_slug
105|01109|01550|Collonges|collonges|46.14152784|5.90460952|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
106|01110|01300|Colomieu|colomieu|45.738500285714|5.6265590476191|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
107|01111|01230|Conand|conand|45.890008978102|5.4713902919708|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
108|01112|01430|Condamine|condamine|46.104543084112|5.5582528037383|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
109|01113|01400|Condeissiat|condeissiat|46.1521226875|5.087552125|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
110|01114|01200|Confort|confort|46.156618163265|5.8304369387755|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
111|01115|01310|Confrançon|confrancon|46.2677990625|5.0631065|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
112|01116|01300|Contrevoz|contrevoz|45.803002392345|5.6211401435407|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
113|01117|01300|Conzieu|conzieu|45.727867105263|5.606319868421|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
114|01118|01420|Corbonod|corbonod|45.972412773723|5.7880016058394|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
115|01121|01110|Corlier|corlier|46.032718194444|5.4985325|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
116|01122|01110|Cormaranche-en-Bugey|cormaranche en bugey|45.947902282609|5.61038|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
117|01123|01290|Cormoranche-sur-Saône|cormoranche sur saone|46.23802942623|4.8349332786885|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
118|01124|01560|Cormoz|cormoz|46.433602965779|5.2256662357414|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
119|01125|01250|Corveissiat|corveissiat|46.254723069767|5.4688593953488|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
120|01127|01370|Courmangoux|courmangoux|46.326120622407|5.3504300414938|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
121|01128|01560|Courtes|courtes|46.457129483871|5.1139603870968|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
122|01129|01320|Crans|crans|45.965866390244|5.1933110731707|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
123|01130|01340|Cras-sur-Reyssouze|cras sur reyssouze|46.313415243243|5.1783688648649|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
124|01133|01350|Cressin-Rochefort|cressin rochefort|45.784325921053|5.7588935526316|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
125|01134|01290|Crottet|crottet|46.277172|4.892867|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
126|01134|01750|Crottet|crottet|46.3070867|4.8676037|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
127|01135|01170|Crozet|crozet|46.290464240506|6.0029505696202|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
128|01136|01290|Cruzilles-lès-Mépillat|cruzilles les mepillat|46.221429230769|4.8756563636364|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
129|01138|01350|Culoz|culoz|45.855868235294|5.7754341176471|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
130|01139|01560|Curciat-Dongalon|curciat dongalon|46.488223573883|5.1661274570447|1|01|Ain|ain|16|84|Auvergne-Rhône-Alpes|auvergne rhone alpes
